#{"t_start": 1774554981.1472578, "env_id": "None"}
r,l,t,is_success,done_reason,reached_grasped,reached_on_belt,grasped_ratio,on_belt_ratio
-259.34854,500,25.631735,False,max_steps,False,False,0.0,0.0
-239.37036,500,25.631742,False,max_steps,False,False,0.0,0.0
-219.29056,500,25.631747,False,max_steps,False,False,0.0,0.0
-249.32953,500,25.631753,False,max_steps,False,False,0.0,0.0
-250.0,500,25.631758,False,max_steps,False,False,0.0,0.0
-270.7753,500,26.752427,False,max_steps,False,False,0.0,0.0
-267.29102,500,26.976648,False,max_steps,False,False,0.0,0.0
-276.7036,500,26.976737,False,max_steps,False,False,0.0,0.0
-250.0,500,26.976761,False,max_steps,False,False,0.0,0.0
-255.77289,500,26.976768,False,max_steps,False,False,0.0,0.0
-244.56714,500,26.976774,False,max_steps,False,False,0.0,0.0
-256.8001,500,26.976779,False,max_steps,False,False,0.0,0.0
-256.2841,500,26.976786,False,max_steps,False,False,0.0,0.0
-241.73509,500,26.976792,False,max_steps,False,False,0.0,0.0
-252.97108,500,26.976799,False,max_steps,False,False,0.0,0.0
-250.0,500,28.183664,False,max_steps,False,False,0.0,0.0
-250.90741,500,28.44168,False,max_steps,False,False,0.0,0.0
-255.736,500,28.441772,False,max_steps,False,False,0.0,0.0
-254.50005,500,28.441797,False,max_steps,False,False,0.0,0.0
-250.0,500,28.441806,False,max_steps,False,False,0.0,0.0
-249.72614,500,28.441813,False,max_steps,False,False,0.0,0.0
-45.527832,500,28.441819,False,max_steps,True,False,0.906,0.0
-253.34389,500,28.441826,False,max_steps,False,False,0.0,0.0
-240.96495,500,28.441832,False,max_steps,False,False,0.0,0.0
-245.67351,500,28.441836,False,max_steps,False,False,0.0,0.0
-247.52252,500,29.703263,False,max_steps,False,False,0.0,0.0
-245.9797,500,29.946157,False,max_steps,False,False,0.0,0.0
-254.35841,500,29.946244,False,max_steps,False,False,0.0,0.0
-250.0,500,29.946269,False,max_steps,False,False,0.0,0.0
-132.37299,500,29.946277,False,max_steps,True,True,0.382,0.07
-242.20998,500,29.946284,False,max_steps,False,False,0.0,0.0
-237.55275,500,29.946289,False,max_steps,False,False,0.0,0.0
-250.0,500,29.946296,False,max_steps,False,False,0.0,0.0
-251.86313,500,29.946302,False,max_steps,False,False,0.0,0.0
-239.94272,500,29.946321,False,max_steps,False,False,0.0,0.0
-266.6837,500,44.609501,False,max_steps,False,False,0.0,0.0
-254.24321,500,44.851572,False,max_steps,False,False,0.0,0.0
-254.20004,500,44.851703,False,max_steps,False,False,0.0,0.0
-240.87079,500,44.851747,False,max_steps,False,False,0.0,0.0
-268.05045,500,44.85176,False,max_steps,False,False,0.0,0.0
-239.15291,500,44.85177,False,max_steps,False,False,0.0,0.0
-242.60118,500,44.851778,False,max_steps,False,False,0.0,0.0
-250.0,500,44.851788,False,max_steps,False,False,0.0,0.0
-238.71973,500,44.851796,False,max_steps,False,False,0.0,0.0
-262.76276,500,44.851804,False,max_steps,False,False,0.0,0.0
-223.2279,500,45.937879,False,max_steps,False,False,0.0,0.0
-243.57664,500,46.174595,False,max_steps,False,False,0.0,0.0
-258.634,500,46.174684,False,max_steps,False,False,0.0,0.0
-248.19504,500,46.174707,False,max_steps,False,False,0.0,0.0
-260.65787,500,46.174715,False,max_steps,False,False,0.0,0.0
-154.24832,500,46.17472,False,max_steps,True,False,0.394,0.0
-243.55661,500,46.174726,False,max_steps,False,False,0.0,0.0
-250.0,500,46.174731,False,max_steps,False,False,0.0,0.0
-245.32018,500,46.174756,False,max_steps,False,False,0.0,0.0
-276.264,500,46.17477,False,max_steps,False,False,0.0,0.0
-234.76451,500,47.302448,False,max_steps,False,False,0.0,0.0
-241.75711,500,47.627173,False,max_steps,False,False,0.0,0.0
-255.72827,500,47.627273,False,max_steps,False,False,0.0,0.0
-233.25406,500,47.6273,False,max_steps,False,False,0.0,0.0
-247.60057,500,47.627315,False,max_steps,False,False,0.0,0.0
-250.0,500,47.627322,False,max_steps,False,False,0.0,0.0
-250.0,500,47.627329,False,max_steps,False,False,0.0,0.0
-250.92767,500,47.627335,False,max_steps,False,False,0.0,0.0
-250.1976,500,47.627341,False,max_steps,False,False,0.0,0.0
-204.66013,500,47.627346,False,max_steps,False,False,0.0,0.0
-239.68073,500,48.880591,False,max_steps,False,False,0.0,0.0
-231.865,500,49.126301,False,max_steps,False,False,0.0,0.0
-271.89053,500,49.126401,False,max_steps,False,False,0.0,0.0
-252.92638,500,49.126426,False,max_steps,False,False,0.0,0.0
-236.9235,500,49.126435,False,max_steps,False,False,0.0,0.0
-245.83275,500,49.126441,False,max_steps,False,False,0.0,0.0
-228.09029,500,49.126446,False,max_steps,False,False,0.0,0.0
-263.8772,500,49.126451,False,max_steps,False,False,0.0,0.0
-252.54036,500,49.126456,False,max_steps,False,False,0.0,0.0
-252.22946,500,49.126461,False,max_steps,False,False,0.0,0.0
-251.50002,500,50.340719,False,max_steps,False,False,0.0,0.0
-38.759804,415,50.386923,True,success_on_belt_end,True,True,0.38072289156626504,0.3301204819277108
-258.5,500,50.631915,False,max_steps,False,False,0.0,0.0
-92.36683,500,50.632046,False,max_steps,True,False,0.534,0.0
-269.5782,500,50.632072,False,max_steps,False,False,0.0,0.0
-230.21826,500,50.632081,False,max_steps,False,False,0.0,0.0
-237.9021,500,50.632088,False,max_steps,False,False,0.0,0.0
-225.7827,500,50.632094,False,max_steps,False,False,0.0,0.0
-244.25952,500,50.632101,False,max_steps,False,False,0.0,0.0
-234.5287,500,50.632107,False,max_steps,False,False,0.0,0.0
-24.8196,418,51.554116,True,success_on_belt_end,True,True,0.33253588516746413,0.45454545454545453
-259.85046,500,51.75003,False,max_steps,False,False,0.0,0.0
-251.7862,500,51.916351,False,max_steps,False,False,0.0,0.0
-254.7834,500,51.916535,False,max_steps,False,False,0.0,0.0
-244.47157,500,51.916564,False,max_steps,False,False,0.0,0.0
-215.04213,500,51.916571,False,max_steps,False,False,0.0,0.0
-229.879,500,51.916577,False,max_steps,False,False,0.0,0.0
-252.40002,500,51.916582,False,max_steps,False,False,0.0,0.0
-249.02838,500,51.916587,False,max_steps,False,False,0.0,0.0
-35.519295,500,51.916591,False,max_steps,True,True,0.462,0.006
-192.13322,500,52.803513,False,max_steps,True,False,0.178,0.0
-224.58337,500,53.043345,False,max_steps,False,False,0.0,0.0
-250.68925,500,53.261091,False,max_steps,False,False,0.0,0.0
-247.10345,500,53.261256,False,max_steps,False,False,0.0,0.0
-250.0,500,53.261283,False,max_steps,False,False,0.0,0.0
